transaction_id,booking_date,value_date,description,credit_usd,debit_usd,running_balance_usd
TXN-2026-BANK-001,2026-07-02,2026-07-02,Vendor Clearing Payout #001,0.00,46200.00,42903800.00
TXN-2026-BANK-002,2026-07-03,2026-07-03,Vendor Clearing Payout #002,0.00,47400.00,42856400.00
TXN-2026-BANK-003,2026-07-04,2026-07-04,Customer Wire Payment Recv #003,157500.00,0.00,43013900.00
TXN-2026-BANK-004,2026-07-05,2026-07-05,Vendor Clearing Payout #004,0.00,49800.00,42964100.00
TXN-2026-BANK-005,2026-07-06,2026-07-06,Vendor Clearing Payout #005,0.00,51000.00,42913100.00
TXN-2026-BANK-006,2026-07-07,2026-07-07,Customer Wire Payment Recv #006,165000.00,0.00,43078100.00
TXN-2026-BANK-007,2026-07-08,2026-07-08,Vendor Clearing Payout #007,0.00,53400.00,43024700.00
TXN-2026-BANK-008,2026-07-09,2026-07-09,Vendor Clearing Payout #008,0.00,54600.00,42970100.00
TXN-2026-BANK-009,2026-07-10,2026-07-10,Customer Wire Payment Recv #009,172500.00,0.00,43142600.00
TXN-2026-BANK-010,2026-07-11,2026-07-11,Vendor Clearing Payout #010,0.00,57000.00,43085600.00
TXN-2026-BANK-011,2026-07-12,2026-07-12,Vendor Clearing Payout #011,0.00,58200.00,43027400.00
TXN-2026-BANK-012,2026-07-13,2026-07-13,Customer Wire Payment Recv #012,180000.00,0.00,43207400.00
TXN-2026-BANK-013,2026-07-14,2026-07-14,Vendor Clearing Payout #013,0.00,60600.00,43146800.00
TXN-2026-BANK-014,2026-07-15,2026-07-15,Vendor Clearing Payout #014,0.00,61800.00,43085000.00
TXN-2026-BANK-015,2026-07-16,2026-07-16,Customer Wire Payment Recv #015,187500.00,0.00,43272500.00
TXN-2026-BANK-016,2026-07-17,2026-07-17,Vendor Clearing Payout #016,0.00,64200.00,43208300.00
TXN-2026-BANK-017,2026-07-18,2026-07-18,Vendor Clearing Payout #017,0.00,65400.00,43142900.00
TXN-2026-BANK-018,2026-07-19,2026-07-19,Customer Wire Payment Recv #018,195000.00,0.00,43337900.00
TXN-2026-BANK-019,2026-07-20,2026-07-20,Vendor Clearing Payout #019,0.00,67800.00,43270100.00
TXN-2026-BANK-020,2026-07-21,2026-07-21,Vendor Clearing Payout #020,0.00,69000.00,43201100.00
TXN-2026-BANK-021,2026-07-22,2026-07-22,Customer Wire Payment Recv #021,202500.00,0.00,43403600.00
TXN-2026-BANK-022,2026-07-23,2026-07-23,Vendor Clearing Payout #022,0.00,71400.00,43332200.00
TXN-2026-BANK-023,2026-07-24,2026-07-24,Vendor Clearing Payout #023,0.00,72600.00,43259600.00
TXN-2026-BANK-024,2026-07-25,2026-07-25,Customer Wire Payment Recv #024,210000.00,0.00,43469600.00
TXN-2026-BANK-025,2026-07-26,2026-07-26,Vendor Clearing Payout #025,0.00,75000.00,43394600.00
TXN-2026-BANK-026,2026-07-27,2026-07-27,Vendor Clearing Payout #026,0.00,76200.00,43318400.00
TXN-2026-BANK-027,2026-07-28,2026-07-28,Customer Wire Payment Recv #027,217500.00,0.00,43535900.00
TXN-2026-BANK-028,2026-07-01,2026-07-01,Vendor Clearing Payout #028,0.00,78600.00,43457300.00
TXN-2026-BANK-029,2026-07-02,2026-07-02,Vendor Clearing Payout #029,0.00,79800.00,43377500.00
TXN-2026-BANK-030,2026-07-03,2026-07-03,Customer Wire Payment Recv #030,225000.00,0.00,43602500.00
TXN-2026-BANK-031,2026-07-04,2026-07-04,Vendor Clearing Payout #031,0.00,82200.00,43520300.00
TXN-2026-BANK-032,2026-07-05,2026-07-05,Vendor Clearing Payout #032,0.00,83400.00,43436900.00
TXN-2026-BANK-033,2026-07-06,2026-07-06,Customer Wire Payment Recv #033,232500.00,0.00,43669400.00
TXN-2026-BANK-034,2026-07-07,2026-07-07,Vendor Clearing Payout #034,0.00,85800.00,43583600.00
TXN-2026-BANK-035,2026-07-08,2026-07-08,Vendor Clearing Payout #035,0.00,87000.00,43496600.00
TXN-2026-BANK-036,2026-07-09,2026-07-09,Customer Wire Payment Recv #036,240000.00,0.00,43736600.00
TXN-2026-BANK-037,2026-07-10,2026-07-10,Vendor Clearing Payout #037,0.00,89400.00,43647200.00
TXN-2026-BANK-038,2026-07-11,2026-07-11,Vendor Clearing Payout #038,0.00,90600.00,43556600.00
TXN-2026-BANK-039,2026-07-12,2026-07-12,Customer Wire Payment Recv #039,247500.00,0.00,43804100.00
TXN-2026-BANK-040,2026-07-13,2026-07-13,Vendor Clearing Payout #040,0.00,93000.00,43711100.00
TXN-2026-BANK-041,2026-07-14,2026-07-14,Vendor Clearing Payout #041,0.00,94200.00,43616900.00
TXN-2026-BANK-042,2026-07-15,2026-07-15,Customer Wire Payment Recv #042,255000.00,0.00,43871900.00
TXN-2026-BANK-043,2026-07-16,2026-07-16,Vendor Clearing Payout #043,0.00,96600.00,43775300.00
TXN-2026-BANK-044,2026-07-17,2026-07-17,Vendor Clearing Payout #044,0.00,97800.00,43677500.00
TXN-2026-BANK-045,2026-07-18,2026-07-18,Customer Wire Payment Recv #045,262500.00,0.00,43940000.00
TXN-2026-BANK-046,2026-07-19,2026-07-19,Vendor Clearing Payout #046,0.00,100200.00,43839800.00
TXN-2026-BANK-047,2026-07-20,2026-07-20,Vendor Clearing Payout #047,0.00,101400.00,43738400.00
TXN-2026-BANK-048,2026-07-21,2026-07-21,Customer Wire Payment Recv #048,270000.00,0.00,44008400.00
TXN-2026-BANK-049,2026-07-22,2026-07-22,Vendor Clearing Payout #049,0.00,103800.00,43904600.00
TXN-2026-BANK-050,2026-07-23,2026-07-23,Vendor Clearing Payout #050,0.00,105000.00,43799600.00
TXN-2026-BANK-051,2026-07-24,2026-07-24,Customer Wire Payment Recv #051,277500.00,0.00,44077100.00
TXN-2026-BANK-052,2026-07-25,2026-07-25,Vendor Clearing Payout #052,0.00,107400.00,43969700.00
TXN-2026-BANK-053,2026-07-26,2026-07-26,Vendor Clearing Payout #053,0.00,108600.00,43861100.00
TXN-2026-BANK-054,2026-07-27,2026-07-27,Customer Wire Payment Recv #054,285000.00,0.00,44146100.00
TXN-2026-BANK-055,2026-07-28,2026-07-28,Vendor Clearing Payout #055,0.00,111000.00,44035100.00
TXN-2026-BANK-056,2026-07-01,2026-07-01,Vendor Clearing Payout #056,0.00,112200.00,43922900.00
TXN-2026-BANK-057,2026-07-02,2026-07-02,Customer Wire Payment Recv #057,292500.00,0.00,44215400.00
TXN-2026-BANK-058,2026-07-03,2026-07-03,Vendor Clearing Payout #058,0.00,114600.00,44100800.00
TXN-2026-BANK-059,2026-07-04,2026-07-04,Vendor Clearing Payout #059,0.00,115800.00,43985000.00
TXN-2026-BANK-060,2026-07-05,2026-07-05,Customer Wire Payment Recv #060,300000.00,0.00,44285000.00
TXN-2026-BANK-061,2026-07-06,2026-07-06,Vendor Clearing Payout #061,0.00,118200.00,44166800.00
TXN-2026-BANK-062,2026-07-07,2026-07-07,Vendor Clearing Payout #062,0.00,119400.00,44047400.00
TXN-2026-BANK-063,2026-07-08,2026-07-08,Customer Wire Payment Recv #063,307500.00,0.00,44354900.00
TXN-2026-BANK-064,2026-07-09,2026-07-09,Vendor Clearing Payout #064,0.00,121800.00,44233100.00
TXN-2026-BANK-065,2026-07-10,2026-07-10,Vendor Clearing Payout #065,0.00,123000.00,44110100.00
TXN-2026-BANK-066,2026-07-11,2026-07-11,Customer Wire Payment Recv #066,315000.00,0.00,44425100.00
TXN-2026-BANK-067,2026-07-12,2026-07-12,Vendor Clearing Payout #067,0.00,125400.00,44299700.00
TXN-2026-BANK-068,2026-07-13,2026-07-13,Vendor Clearing Payout #068,0.00,126600.00,44173100.00
