part_id,description,quantity_per_unit,unit_cost_usd,supplier_name
CMP-2026-001,Precision Component Component Variant #001,2,14.60,Global Precision Components
CMP-2026-002,Precision Component Component Variant #002,3,16.70,Global Precision Components
CMP-2026-003,Precision Component Component Variant #003,4,18.80,Global Precision Components
CMP-2026-004,Precision Component Component Variant #004,5,20.90,Global Precision Components
CMP-2026-005,Precision Component Component Variant #005,1,23.00,Global Precision Components
CMP-2026-006,Precision Component Component Variant #006,2,25.10,Global Precision Components
CMP-2026-007,Precision Component Component Variant #007,3,27.20,Global Precision Components
CMP-2026-008,Precision Component Component Variant #008,4,29.30,Global Precision Components
CMP-2026-009,Precision Component Component Variant #009,5,31.40,Global Precision Components
CMP-2026-010,Precision Component Component Variant #010,1,33.50,Global Precision Components
CMP-2026-011,Precision Component Component Variant #011,2,35.60,Global Precision Components
CMP-2026-012,Precision Component Component Variant #012,3,37.70,Global Precision Components
CMP-2026-013,Precision Component Component Variant #013,4,39.80,Global Precision Components
CMP-2026-014,Precision Component Component Variant #014,5,41.90,Global Precision Components
CMP-2026-015,Precision Component Component Variant #015,1,44.00,Global Precision Components
CMP-2026-016,Precision Component Component Variant #016,2,46.10,Global Precision Components
CMP-2026-017,Precision Component Component Variant #017,3,48.20,Global Precision Components
CMP-2026-018,Precision Component Component Variant #018,4,50.30,Global Precision Components
CMP-2026-019,Precision Component Component Variant #019,5,52.40,Global Precision Components
CMP-2026-020,Precision Component Component Variant #020,1,54.50,Global Precision Components
CMP-2026-021,Precision Component Component Variant #021,2,56.60,Global Precision Components
CMP-2026-022,Precision Component Component Variant #022,3,58.70,Global Precision Components
CMP-2026-023,Precision Component Component Variant #023,4,60.80,Global Precision Components
CMP-2026-024,Precision Component Component Variant #024,5,62.90,Global Precision Components
CMP-2026-025,Precision Component Component Variant #025,1,65.00,Global Precision Components
CMP-2026-026,Precision Component Component Variant #026,2,67.10,Global Precision Components
CMP-2026-027,Precision Component Component Variant #027,3,69.20,Global Precision Components
CMP-2026-028,Precision Component Component Variant #028,4,71.30,Global Precision Components
CMP-2026-029,Precision Component Component Variant #029,5,73.40,Global Precision Components
CMP-2026-030,Precision Component Component Variant #030,1,75.50,Global Precision Components
CMP-2026-031,Precision Component Component Variant #031,2,77.60,Global Precision Components
CMP-2026-032,Precision Component Component Variant #032,3,79.70,Global Precision Components
CMP-2026-033,Precision Component Component Variant #033,4,81.80,Global Precision Components
CMP-2026-034,Precision Component Component Variant #034,5,83.90,Global Precision Components
CMP-2026-035,Precision Component Component Variant #035,1,86.00,Global Precision Components
CMP-2026-036,Precision Component Component Variant #036,2,88.10,Global Precision Components
CMP-2026-037,Precision Component Component Variant #037,3,90.20,Global Precision Components
CMP-2026-038,Precision Component Component Variant #038,4,92.30,Global Precision Components
CMP-2026-039,Precision Component Component Variant #039,5,94.40,Global Precision Components
CMP-2026-040,Precision Component Component Variant #040,1,96.50,Global Precision Components
CMP-2026-041,Precision Component Component Variant #041,2,98.60,Global Precision Components
CMP-2026-042,Precision Component Component Variant #042,3,100.70,Global Precision Components
CMP-2026-043,Precision Component Component Variant #043,4,102.80,Global Precision Components
CMP-2026-044,Precision Component Component Variant #044,5,104.90,Global Precision Components
CMP-2026-045,Precision Component Component Variant #045,1,107.00,Global Precision Components
CMP-2026-046,Precision Component Component Variant #046,2,109.10,Global Precision Components
CMP-2026-047,Precision Component Component Variant #047,3,111.20,Global Precision Components
CMP-2026-048,Precision Component Component Variant #048,4,113.30,Global Precision Components
CMP-2026-049,Precision Component Component Variant #049,5,115.40,Global Precision Components
CMP-2026-050,Precision Component Component Variant #050,1,117.50,Global Precision Components
CMP-2026-051,Precision Component Component Variant #051,2,119.60,Global Precision Components
CMP-2026-052,Precision Component Component Variant #052,3,121.70,Global Precision Components
CMP-2026-053,Precision Component Component Variant #053,4,123.80,Global Precision Components
CMP-2026-054,Precision Component Component Variant #054,5,125.90,Global Precision Components
CMP-2026-055,Precision Component Component Variant #055,1,128.00,Global Precision Components
CMP-2026-056,Precision Component Component Variant #056,2,130.10,Global Precision Components
CMP-2026-057,Precision Component Component Variant #057,3,132.20,Global Precision Components
CMP-2026-058,Precision Component Component Variant #058,4,134.30,Global Precision Components
CMP-2026-059,Precision Component Component Variant #059,5,136.40,Global Precision Components
CMP-2026-060,Precision Component Component Variant #060,1,138.50,Global Precision Components
CMP-2026-061,Precision Component Component Variant #061,2,140.60,Global Precision Components
CMP-2026-062,Precision Component Component Variant #062,3,142.70,Global Precision Components
CMP-2026-063,Precision Component Component Variant #063,4,144.80,Global Precision Components
CMP-2026-064,Precision Component Component Variant #064,5,146.90,Global Precision Components
CMP-2026-065,Precision Component Component Variant #065,1,149.00,Global Precision Components
CMP-2026-066,Precision Component Component Variant #066,2,151.10,Global Precision Components
CMP-2026-067,Precision Component Component Variant #067,3,153.20,Global Precision Components
CMP-2026-068,Precision Component Component Variant #068,4,155.30,Global Precision Components
CMP-2026-069,Precision Component Component Variant #069,5,157.40,Global Precision Components
CMP-2026-070,Precision Component Component Variant #070,1,159.50,Global Precision Components
CMP-2026-071,Precision Component Component Variant #071,2,161.60,Global Precision Components
CMP-2026-072,Precision Component Component Variant #072,3,163.70,Global Precision Components
CMP-2026-073,Precision Component Component Variant #073,4,165.80,Global Precision Components
CMP-2026-074,Precision Component Component Variant #074,5,167.90,Global Precision Components
CMP-2026-075,Precision Component Component Variant #075,1,170.00,Global Precision Components
CMP-2026-076,Precision Component Component Variant #076,2,172.10,Global Precision Components
CMP-2026-077,Precision Component Component Variant #077,3,174.20,Global Precision Components
CMP-2026-078,Precision Component Component Variant #078,4,176.30,Global Precision Components
CMP-2026-079,Precision Component Component Variant #079,5,178.40,Global Precision Components
CMP-2026-080,Precision Component Component Variant #080,1,180.50,Global Precision Components
CMP-2026-081,Precision Component Component Variant #081,2,182.60,Global Precision Components
CMP-2026-082,Precision Component Component Variant #082,3,184.70,Global Precision Components
CMP-2026-083,Precision Component Component Variant #083,4,186.80,Global Precision Components
CMP-2026-084,Precision Component Component Variant #084,5,188.90,Global Precision Components
CMP-2026-085,Precision Component Component Variant #085,1,191.00,Global Precision Components
CMP-2026-086,Precision Component Component Variant #086,2,193.10,Global Precision Components
CMP-2026-087,Precision Component Component Variant #087,3,195.20,Global Precision Components
CMP-2026-088,Precision Component Component Variant #088,4,197.30,Global Precision Components
CMP-2026-089,Precision Component Component Variant #089,5,199.40,Global Precision Components
CMP-2026-090,Precision Component Component Variant #090,1,201.50,Global Precision Components
CMP-2026-091,Precision Component Component Variant #091,2,203.60,Global Precision Components
CMP-2026-092,Precision Component Component Variant #092,3,205.70,Global Precision Components
CMP-2026-093,Precision Component Component Variant #093,4,207.80,Global Precision Components
CMP-2026-094,Precision Component Component Variant #094,5,209.90,Global Precision Components
CMP-2026-095,Precision Component Component Variant #095,1,212.00,Global Precision Components
CMP-2026-096,Precision Component Component Variant #096,2,214.10,Global Precision Components
CMP-2026-097,Precision Component Component Variant #097,3,216.20,Global Precision Components
CMP-2026-098,Precision Component Component Variant #098,4,218.30,Global Precision Components
CMP-2026-099,Precision Component Component Variant #099,5,220.40,Global Precision Components
CMP-2026-100,Precision Component Component Variant #100,1,222.50,Global Precision Components
